"no","key","domain","screen_area","type","description_kr","kr_context","en"
"1","common.loading","common","공통","loading","로딩 중 표시 문구","로딩 중…","Loading…"
"2","common.submit","common","공통","button","제출 버튼","제출","Submit"
"3","common.cancel","common","SignupGateModal","button","취소 버튼","취소","Cancel"
"4","common.save","common","공통","button","저장 버튼","저장","Save"
"5","common.close","common","공통","button","닫기 버튼","닫기","Close"
"6","common.retry","common","공통","button","다시 시도 버튼","다시 시도","Try again"
"7","common.submitting","common","ExchangeConnectForm","button","제출 진행 중 버튼 문구","제출 중…","Submitting…"
"8","common.or","common","LoginForm/SignupForm","label","이메일/구글 로그인 사이 구분선 문구","또는","or"
"9","common.back","common","뉴스상세 페이지","button","이전(뒤로) 링크","← 뒤로","← Back"
"10","common.backToHome","common","공통","button","홈으로 돌아가기 링크","← 홈으로","← Back to Home"
"11","gnb.news","gnb","GNB","tab","GNB 뉴스 메뉴","뉴스","News"
"12","gnb.stocks","gnb","GNB","tab","GNB 종목 메뉴","종목","Stocks"
"13","gnb.settings","gnb","GNB","label","설정 아이콘 접근성 라벨(모바일)","설정","Settings"
"14","gnb.logIn","gnb","GNB","button","GNB 로그인 버튼","로그인","Log In"
"15","gnb.signUp","gnb","GNB","button","GNB 회원가입 버튼","회원가입","Sign Up"
"16","gnb.logOut","gnb","GNB","button","GNB 로그아웃 버튼","로그아웃","Log Out"
"17","gnb.languageLabel","gnb","LocaleSwitcher","label","언어 선택 드롭다운 접근성 라벨","언어","Language"
"18","footer.tagline","footer","Footer","label","푸터 서비스 한줄 소개","글로벌 투자자를 위한 한국 주식 뉴스 & 시장 데이터.","Korean stock news & market data for global investors."
"19","footer.privacy","footer","Footer/SignupForm/ConsentForm","label","개인정보처리방침 링크","개인정보처리방침","Privacy Policy"
"20","footer.terms","footer","Footer/SignupForm/ConsentForm","label","이용약관 링크","이용약관","Terms of Service"
"21","footer.copyright","footer","Footer","label","저작권 표기 ({year}=올해 연도)","© {year} kstockhelper.com","© {year} kstockhelper.com"
"22","banner.title","banner","SignupBanner","title","메인 배너 제목","한국 주식 시장에서 거래하세요","Trade Korea's Stock Market"
"23","banner.subtitle","banner","SignupBanner","label","메인 배너 부제","글로벌 브로커를 통해 한국 시장에 접근하세요.","Open access to Korean markets through your global broker."
"24","banner.cta","banner","SignupBanner","button","메인 배너 CTA 버튼","거래 시작하기","Start Trading"
"25","banner.connectPrompt","banner","SignupBanner","label","기존 계정 UID 연결 유도 링크","이미 계정이 있으신가요? UID 연결하기 →","Already have an account? Connect your UID →"
"26","auth.loginHeading","auth","로그인 페이지","title","로그인 페이지 제목","로그인","Log In"
"27","auth.signupHeading","auth","회원가입 페이지","title","회원가입 페이지 제목","회원가입","Sign Up"
"28","auth.consentMetaTitle","auth","약관동의 페이지","title","약관 동의 페이지 메타 타이틀","약관 동의","Agree to Terms"
"29","auth.consentHeading","auth","약관동의 페이지","title","약관 동의 페이지 제목","마지막 단계입니다","One last step"
"30","auth.email","auth","LoginForm/SignupForm","label","이메일 입력 라벨","이메일","Email"
"31","auth.emailPlaceholder","auth","LoginForm/SignupForm","placeholder","이메일 입력 placeholder","you@example.com","you@example.com"
"32","auth.password","auth","LoginForm","label","비밀번호 입력 라벨","비밀번호","Password"
"33","auth.passwordPlaceholder","auth","LoginForm/SignupForm","placeholder","비밀번호 입력 placeholder","••••••••","••••••••"
"34","auth.passwordWithRule","auth","SignupForm","label","비밀번호 입력 라벨(자릿수 안내 포함)","비밀번호 (8–16자)","Password (8–16 characters)"
"35","auth.confirmPassword","auth","SignupForm","label","비밀번호 확인 입력 라벨","비밀번호 확인","Confirm Password"
"36","auth.verificationCode","auth","SignupForm","label","인증 코드 입력 라벨","인증 코드","Verification Code"
"37","auth.verificationCodePlaceholder","auth","SignupForm","placeholder","인증 코드 입력 placeholder","6자리 코드를 입력하세요","Enter the 6-digit code"
"38","auth.logIn","auth","LoginForm/SignupForm","button","로그인 버튼/링크","로그인","Log In"
"39","auth.signingIn","auth","LoginForm","button","로그인 진행 중 버튼 문구","로그인 중…","Signing in…"
"40","auth.noAccount","auth","LoginForm","label","계정 없음 안내(회원가입 유도)","계정이 없으신가요?","No account?"
"41","auth.haveAccount","auth","SignupForm","label","이미 계정 있음 안내(로그인 유도)","이미 계정이 있으신가요?","Already have an account?"
"42","auth.signUp","auth","LoginForm","button","회원가입 링크","회원가입","Sign Up"
"43","auth.continueWithGoogle","auth","GoogleButton","button","구글 로그인 버튼","Google로 계속하기","Continue with Google"
"44","auth.connecting","auth","GoogleButton","button","구글 연결 중 버튼 문구","연결 중…","Connecting…"
"45","auth.googleError","auth","GoogleButton","error","구글 로그인 시작 실패 에러","Google 로그인을 시작할 수 없습니다. 다시 시도해 주세요.","Could not start Google sign-in. Please try again."
"46","auth.stepOf","auth","SignupForm","label","회원가입 단계 표시 ({current}=현재 단계, 총 3단계)","{current} / 3 단계","Step {current} of 3"
"47","auth.sendCode","auth","SignupForm","button","인증 코드 전송 버튼","인증 코드 전송","Send Verification Code"
"48","auth.sending","auth","SignupForm","button","코드 전송 중 버튼 문구","전송 중…","Sending…"
"49","auth.codeSent","auth","SignupForm","toast","코드 전송 완료 안내 ({email}=이메일)","{email}로 6자리 코드를 전송했습니다.","A 6-digit code was sent to {email}."
"50","auth.codeResent","auth","SignupForm","toast","코드 재전송 완료 안내","새 코드를 전송했습니다.","A new code was sent."
"51","auth.verifyCode","auth","SignupForm","button","코드 인증 버튼","코드 인증","Verify Code"
"52","auth.verifying","auth","SignupForm","button","코드 인증 중 버튼 문구","인증 중…","Verifying…"
"53","auth.changeEmail","auth","SignupForm","button","이메일 변경(이전 단계로) 버튼","← 이메일 변경","← Change email"
"54","auth.resendCode","auth","SignupForm","button","코드 재전송 버튼","코드 재전송","Resend code"
"55","auth.createAccount","auth","SignupForm","button","계정 생성 버튼","계정 만들기","Create Account"
"56","auth.creatingAccount","auth","SignupForm","button","계정 생성 중 버튼 문구","계정 생성 중…","Creating account…"
"57","auth.agreePrefix","auth","SignupForm/ConsentForm","label","약관 동의 체크박스 앞 문구(뒤에 약관/방침 링크 이어짐)","다음에 동의합니다:","I have read and agree to the"
"58","auth.agreeMiddle","auth","SignupForm/ConsentForm","label","약관과 방침 링크 사이 연결 문구","및","and"
"59","auth.consentIntro","auth","ConsentForm","label","약관 동의 안내 문구","계속하기 전에 약관을 검토하고 동의해 주세요.","Before you continue, please review and agree to our terms."
"60","auth.agreeAndContinue","auth","ConsentForm","button","동의하고 계속 버튼","동의하고 계속","Agree and Continue"
"61","auth.saving","auth","ConsentForm","button","동의 저장 중 버튼 문구","저장 중…","Saving…"
"62","auth.errorAgreeRequired","auth","SignupForm/ConsentForm","error","약관 미동의 에러","이용약관과 개인정보처리방침에 동의해 주세요.","Please agree to the Terms of Service and Privacy Policy."
"63","auth.errorConsentFailed","auth","ConsentForm","error","동의 저장 실패 에러","동의 저장에 실패했습니다. 다시 시도해 주세요.","Could not save your consent. Please try again."
"64","auth.errorPasswordLength","auth","SignupForm","error","비밀번호 길이 에러 ({min},{max}=자릿수)","비밀번호는 {min}–{max}자여야 합니다.","Password must be {min}–{max} characters."
"65","auth.errorPasswordMismatch","auth","SignupForm","error","비밀번호 불일치 에러","비밀번호가 일치하지 않습니다.","Passwords do not match."
"66","news.ariaList","news","NewsList","label","뉴스 목록 접근성 라벨","뉴스","News"
"67","news.ariaFilter","news","NewsFilterTabs","label","뉴스 필터 탭 접근성 라벨","뉴스 필터","News filter"
"68","news.ariaType","news","NewsTypeTabs","label","콘텐츠 유형 탭 접근성 라벨","콘텐츠 유형","Content type"
"69","news.filterAll","news","NewsFilterTabs","tab","필터 '전체' 탭","전체","All"
"70","news.typeNews","news","NewsTypeTabs","tab","콘텐츠 유형 '뉴스' 탭","뉴스","News"
"71","news.typeDisclosures","news","NewsTypeTabs","tab","콘텐츠 유형 '공시' 탭","공시","Disclosures"
"72","news.badgeNews","news","NewsCard/NewsDetail","badge","뉴스 배지","뉴스","News"
"73","news.badgeDisclosure","news","NewsCard/NewsDetail","badge","공시 배지","공시","Disclosure"
"74","news.emptyNews","news","NewsList","label","뉴스 없음 빈 상태 문구","이 필터에 해당하는 뉴스가 없습니다.","No news for this filter."
"75","news.emptyDisclosures","news","NewsList","label","공시 없음 빈 상태 문구","이 필터에 해당하는 공시가 없습니다.","No disclosures for this filter."
"76","news.summary","news","NewsDetail","title","뉴스 상세 '요약' 섹션 제목","요약","Summary"
"77","news.keyPoints","news","NewsDetail","title","뉴스 상세 '핵심 포인트' 섹션 제목","핵심 포인트","Key Points"
